image,sigma,algorithm,psnr,SSIM,Execution time (s)
4.2.01,0,original,inf,1.000000,n/a
4.2.01,5,noisy,34.173264,0.997754,n/a
4.2.01,5,swnlm,37.476813,0.998952,252.763000
4.2.01,5,cnlm,38.728400,0.999215,129.356000
4.2.01,10,noisy,28.103180,0.990909,n/a
4.2.01,10,swnlm,35.217616,0.998235,253.971000
4.2.01,10,cnlm,35.155474,0.998211,129.345000
4.2.01,15,noisy,24.612941,0.979699,n/a
4.2.01,15,swnlm,33.912489,0.997612,255.090000
4.2.01,15,cnlm,32.924777,0.997007,128.401000
4.2.01,20,noisy,22.105442,0.963864,n/a
4.2.01,20,swnlm,32.820653,0.996935,253.400000
4.2.01,20,cnlm,31.187802,0.995544,129.439000
4.2.01,25,noisy,20.185867,0.944044,n/a
4.2.01,25,swnlm,31.991223,0.996295,254.934000
4.2.01,25,cnlm,29.774966,0.993838,129.405000
4.2.01,30,noisy,18.602263,0.920458,n/a
4.2.01,30,swnlm,31.260567,0.995607,255.866000
4.2.01,30,cnlm,28.497764,0.991732,131.220000
4.2.01,35,noisy,17.270611,0.893844,n/a
4.2.01,35,swnlm,30.710648,0.995019,258.154000
4.2.01,35,cnlm,27.427884,0.989439,130.732000
4.2.01,40,noisy,16.079582,0.864105,n/a
4.2.01,40,swnlm,29.922689,0.994039,258.496000
4.2.01,40,cnlm,26.342864,0.986465,130.310000
4.2.01,45,noisy,15.070569,0.834505,n/a
4.2.01,45,swnlm,29.338083,0.993179,258.478000
4.2.01,45,cnlm,25.435457,0.983341,131.063000
4.2.01,50,noisy,14.156398,0.804475,n/a
4.2.01,50,swnlm,28.816468,0.992295,258.390000
4.2.01,50,cnlm,24.631476,0.979978,130.907000
4.2.01,55,noisy,13.322409,0.774894,n/a
4.2.01,55,swnlm,28.350431,0.991424,258.424000
4.2.01,55,cnlm,23.870719,0.976198,130.548000
4.2.01,60,noisy,12.567908,0.747032,n/a
