image,sigma,algorithm,search radius,neighbor radius,psnr,SSIM,execution time (s)
mandril,0,original,-,-,inf,1.000000,-
mandril,10,noisy,-,-,28.121824,0.508721,-
mandril,10,swnlm,5,1,31.005276,0.509042,5.240000
mandril,10,cnlm,5,1,30.624694,0.508957,0.562000
mandril,10,swnlm_cuda,5,1,31.029191,0.509040,0.048000
mandril,10,cnlm_cuda,5,1,30.624699,0.508957,0.016000
mandril,10,swnlm,5,2,29.902566,0.508917,19.769000
mandril,10,cnlm,5,2,30.419272,0.508933,1.074000
mandril,10,swnlm_cuda,5,2,29.911225,0.508916,0.120000
mandril,10,cnlm_cuda,5,2,30.419278,0.508933,0.028000
mandril,10,swnlm,5,3,29.437711,0.508863,45.725000
mandril,10,cnlm,5,3,30.392544,0.508930,1.764000
mandril,10,swnlm_cuda,5,3,29.441567,0.508862,0.335000
mandril,10,cnlm_cuda,5,3,30.392552,0.508930,0.047000
mandril,10,swnlm,8,1,31.248640,0.509091,12.416000
mandril,10,cnlm,8,1,31.050003,0.509011,1.313000
mandril,10,swnlm_cuda,8,1,31.264462,0.509090,0.098000
mandril,10,cnlm_cuda,8,1,31.049982,0.509011,0.048000
mandril,10,swnlm,8,2,30.025350,0.508939,47.100000
mandril,10,cnlm,8,2,30.769309,0.508976,2.557000
mandril,10,swnlm_cuda,8,2,30.034620,0.508938,0.263000
mandril,10,cnlm_cuda,8,2,30.769336,0.508976,0.066000
mandril,10,swnlm,8,3,29.499797,0.508872,109.169000
mandril,10,cnlm,8,3,30.725247,0.508972,4.183000
mandril,10,swnlm_cuda,8,3,29.503590,0.508872,0.794000
mandril,10,cnlm_cuda,8,3,30.725247,0.508972,0.099000
mandril,10,swnlm,10,1,31.325353,0.509114,18.802000
mandril,10,cnlm,10,1,31.237603,0.509038,2.001000
mandril,10,swnlm_cuda,10,1,31.337952,0.509113,0.148000
mandril,10,cnlm_cuda,10,1,31.237600,0.509038,0.082000
mandril,10,swnlm,10,2,30.079806,0.508952,71.591000
mandril,10,cnlm,10,2,30.937918,0.509000,3.905000
mandril,10,swnlm_cuda,10,2,30.089193,0.508951,0.392000
mandril,10,cnlm_cuda,10,2,30.937940,0.509000,0.099000
mandril,10,swnlm,10,3,29.525806,0.508878,166.528000
mandril,10,cnlm,10,3,30.886088,0.508994,6.392000
mandril,10,swnlm_cuda,10,3,29.529618,0.508877,1.202000
mandril,10,cnlm_cuda,10,3,30.886076,0.508994,0.147000
mandril,20,noisy,-,-,22.100624,0.507876,-
mandril,20,swnlm,5,1,27.714594,0.509144,5.297000
mandril,20,cnlm,5,1,26.615879,0.509065,0.548000
mandril,20,swnlm_cuda,5,1,27.720074,0.509144,0.046000
mandril,20,cnlm_cuda,5,1,26.615873,0.509065,0.016000
mandril,20,swnlm,5,2,26.322969,0.509079,20.092000
mandril,20,cnlm,5,2,26.674669,0.509077,1.071000
mandril,20,swnlm_cuda,5,2,26.332454,0.509078,0.115000
mandril,20,cnlm_cuda,5,2,26.674674,0.509077,0.025000
mandril,20,swnlm,5,3,25.452677,0.508847,46.319000
mandril,20,cnlm,5,3,26.671355,0.509077,1.763000
mandril,20,swnlm_cuda,5,3,25.458900,0.508846,0.326000
mandril,20,cnlm_cuda,5,3,26.671358,0.509077,0.044000
mandril,20,swnlm,8,1,27.904993,0.509192,12.569000
mandril,20,cnlm,8,1,27.075867,0.509197,1.290000
mandril,20,swnlm_cuda,8,1,27.907319,0.509191,0.099000
mandril,20,cnlm_cuda,8,1,27.075871,0.509197,0.037000
mandril,20,swnlm,8,2,26.673141,0.509201,47.926000
mandril,20,cnlm,8,2,27.178337,0.509235,2.542000
mandril,20,swnlm_cuda,8,2,26.680377,0.509200,0.254000
mandril,20,cnlm_cuda,8,2,27.178339,0.509235,0.061000
mandril,20,swnlm,8,3,25.617271,0.508916,110.910000
mandril,20,cnlm,8,3,27.176737,0.509235,4.188000
mandril,20,swnlm_cuda,8,3,25.623340,0.508914,0.777000
mandril,20,cnlm_cuda,8,3,27.176732,0.509235,0.099000
mandril,20,swnlm,10,1,27.945966,0.509208,19.087000
mandril,20,cnlm,10,1,27.202203,0.509246,1.959000
mandril,20,swnlm_cuda,10,1,27.947373,0.509208,0.140000
mandril,20,cnlm_cuda,10,1,27.202198,0.509246,0.082000
mandril,20,swnlm,10,2,26.818921,0.509258,72.977000
mandril,20,cnlm,10,2,27.322387,0.509295,3.877000
mandril,20,swnlm_cuda,10,2,26.825264,0.509257,0.386000
mandril,20,cnlm_cuda,10,2,27.322372,0.509295,0.104000
mandril,20,swnlm,10,3,25.698415,0.508951,169.245000
mandril,20,cnlm,10,3,27.321689,0.509297,6.406000
mandril,20,swnlm_cuda,10,3,25.704288,0.508950,1.185000
mandril,20,cnlm_cuda,10,3,27.321680,0.509297,0.152000
mandril,30,noisy,-,-,18.613134,0.506611,-
mandril,30,swnlm,5,1,25.558480,0.509196,5.307000
mandril,30,cnlm,5,1,24.251761,0.509139,0.549000
mandril,30,swnlm_cuda,5,1,25.562311,0.509196,0.042000
mandril,30,cnlm_cuda,5,1,24.251753,0.509139,0.015000
mandril,30,swnlm,5,2,24.807526,0.509372,20.250000
mandril,30,cnlm,5,2,24.525264,0.509237,1.069000
mandril,30,swnlm_cuda,5,2,24.811899,0.509371,0.121000
mandril,30,cnlm_cuda,5,2,24.525259,0.509237,0.028000
mandril,30,swnlm,5,3,24.095142,0.509201,46.612000
mandril,30,cnlm,5,3,24.542609,0.509243,1.754000
mandril,30,swnlm_cuda,5,3,24.099288,0.509201,0.331000
mandril,30,cnlm_cuda,5,3,24.542607,0.509243,0.048000
mandril,30,swnlm,8,1,25.717762,0.509248,12.591000
mandril,30,cnlm,8,1,24.611118,0.509316,1.292000
mandril,30,swnlm_cuda,8,1,25.719291,0.509248,0.097000
mandril,30,cnlm_cuda,8,1,24.611124,0.509316,0.047000
mandril,30,swnlm,8,2,25.077974,0.509482,48.311000
mandril,30,cnlm,8,2,24.894580,0.509432,2.545000
mandril,30,swnlm_cuda,8,2,25.080044,0.509482,0.258000
mandril,30,cnlm_cuda,8,2,24.894571,0.509432,0.066000
mandril,30,swnlm,8,3,24.430714,0.509367,111.533000
mandril,30,cnlm,8,3,24.909196,0.509440,4.208000
mandril,30,swnlm_cuda,8,3,24.433924,0.509367,0.788000
mandril,30,cnlm_cuda,8,3,24.909194,0.509440,0.104000
mandril,30,swnlm,10,1,25.754484,0.509266,19.226000
mandril,30,cnlm,10,1,24.686130,0.509374,1.959000
mandril,30,swnlm_cuda,10,1,25.755364,0.509266,0.147000
mandril,30,cnlm_cuda,10,1,24.686124,0.509374,0.088000
mandril,30,swnlm,10,2,25.146940,0.509523,73.567000
mandril,30,cnlm,10,2,24.964478,0.509497,3.875000
mandril,30,swnlm_cuda,10,2,25.148258,0.509522,0.391000
mandril,30,cnlm_cuda,10,2,24.964469,0.509497,0.105000
mandril,30,swnlm,10,3,24.564372,0.509442,170.323000
mandril,30,cnlm,10,3,24.977763,0.509506,6.381000
mandril,30,swnlm_cuda,10,3,24.566894,0.509441,1.181000
mandril,30,cnlm_cuda,10,3,24.977757,0.509506,0.147000
mandril,40,noisy,-,-,16.256322,0.505327,-
mandril,40,swnlm,5,1,23.954181,0.509270,5.310000
mandril,40,cnlm,5,1,22.676788,0.509185,0.554000
mandril,40,swnlm_cuda,5,1,23.957506,0.509270,0.044000
mandril,40,cnlm_cuda,5,1,22.676776,0.509185,0.016000
mandril,40,swnlm,5,2,23.689126,0.509585,20.308000
mandril,40,cnlm,5,2,23.064549,0.509353,1.069000
mandril,40,swnlm_cuda,5,2,23.691547,0.509584,0.108000
mandril,40,cnlm_cuda,5,2,23.064548,0.509353,0.026000
mandril,40,swnlm,5,3,23.236103,0.509610,46.726000
mandril,40,cnlm,5,3,23.090522,0.509365,1.757000
mandril,40,swnlm_cuda,5,3,23.238348,0.509609,0.326000
mandril,40,cnlm_cuda,5,3,23.090516,0.509365,0.045000
mandril,40,swnlm,8,1,24.119974,0.509345,12.602000
mandril,40,cnlm,8,1,22.973332,0.509402,1.302000
mandril,40,swnlm_cuda,8,1,24.121531,0.509345,0.098000
mandril,40,cnlm_cuda,8,1,22.973328,0.509402,0.041000
mandril,40,swnlm,8,2,23.870383,0.509672,48.458000
mandril,40,cnlm,8,2,23.352875,0.509573,2.542000
mandril,40,swnlm_cuda,8,2,23.871622,0.509672,0.250000
mandril,40,cnlm_cuda,8,2,23.352870,0.509573,0.063000
mandril,40,swnlm,8,3,23.517072,0.509756,111.880000
mandril,40,cnlm,8,3,23.373996,0.509585,4.199000
mandril,40,swnlm_cuda,8,3,23.518002,0.509756,0.771000
mandril,40,cnlm_cuda,8,3,23.374002,0.509585,0.099000
mandril,40,swnlm,10,1,24.150129,0.509370,19.158000
mandril,40,cnlm,10,1,23.017955,0.509471,1.962000
mandril,40,swnlm_cuda,10,1,24.151135,0.509370,0.141000
mandril,40,cnlm_cuda,10,1,23.017950,0.509471,0.083000
mandril,40,swnlm,10,2,23.902226,0.509700,73.848000
mandril,40,cnlm,10,2,23.387522,0.509642,3.872000
mandril,40,swnlm_cuda,10,2,23.903043,0.509700,0.379000
mandril,40,cnlm_cuda,10,2,23.387517,0.509642,0.099000
mandril,40,swnlm,10,3,23.574344,0.509804,170.910000
mandril,40,cnlm,10,3,23.407272,0.509654,6.406000
mandril,40,swnlm_cuda,10,3,23.575285,0.509803,1.173000
mandril,40,cnlm_cuda,10,3,23.407263,0.509654,0.149000
