image,sigma,algorithm,search radius,neighbor radius,psnr,MSSIM,execution time (s)
boat,0,original,-,-,inf,1.000000,-
boat,10,noisy,-,-,28.135163,0.589039,-
boat,10,swnlm,5,1,32.008530,0.788143,5.227000
boat,10,cnlm,5,1,31.999128,0.834364,0.568000
boat,10,swnlm_cuda,5,1,32.024861,0.788382,0.050000
boat,10,cnlm_cuda,5,1,31.999145,0.834364,0.016000
boat,10,swnlm,5,2,31.695303,0.772390,19.633000
boat,10,cnlm,5,2,32.013199,0.837864,1.081000
boat,10,swnlm_cuda,5,2,31.704061,0.772648,0.123000
boat,10,cnlm_cuda,5,2,32.013199,0.837864,0.027000
boat,10,swnlm,5,3,31.002011,0.768078,45.565000
boat,10,cnlm,5,3,31.998047,0.837665,1.898000
boat,10,swnlm_cuda,5,3,31.008430,0.768324,0.338000
boat,10,cnlm_cuda,5,3,31.998054,0.837665,0.048000
boat,10,swnlm,8,1,32.066791,0.782483,12.378000
boat,10,cnlm,8,1,32.281019,0.837515,1.345000
boat,10,swnlm_cuda,8,1,32.078383,0.782644,0.099000
boat,10,cnlm_cuda,8,1,32.281024,0.837515,0.044000
boat,10,swnlm,8,2,31.882094,0.759809,46.715000
boat,10,cnlm,8,2,32.315572,0.834235,2.590000
boat,10,swnlm_cuda,8,2,31.889273,0.760008,0.265000
boat,10,cnlm_cuda,8,2,32.315538,0.834235,0.065000
boat,10,swnlm,8,3,31.160611,0.754782,108.608000
boat,10,cnlm,8,3,32.300459,0.833590,4.524000
boat,10,swnlm_cuda,8,3,31.166325,0.754991,0.797000
boat,10,cnlm_cuda,8,3,32.300484,0.833590,0.100000
boat,10,swnlm,10,1,32.066380,0.780981,18.743000
boat,10,cnlm,10,1,32.361312,0.837151,2.059000
boat,10,swnlm_cuda,10,1,32.076472,0.781113,0.153000
boat,10,cnlm_cuda,10,1,32.361333,0.837151,0.087000
boat,10,swnlm,10,2,31.947322,0.755232,71.033000
boat,10,cnlm,10,2,32.404793,0.831407,3.964000
boat,10,swnlm_cuda,10,2,31.954432,0.755438,0.402000
boat,10,cnlm_cuda,10,2,32.404815,0.831408,0.108000
boat,10,swnlm,10,3,31.231711,0.750278,165.776000
boat,10,cnlm,10,3,32.389766,0.830496,6.922000
boat,10,swnlm_cuda,10,3,31.236825,0.750463,1.211000
boat,10,cnlm_cuda,10,3,32.389808,0.830495,0.150000
boat,20,noisy,-,-,22.163534,0.336631,-
boat,20,swnlm,5,1,28.616251,0.677080,5.285000
