image,sigma,algorithm,search radius,neighbor radius,psnr,MSSIM,execution time (s)
mandril,0,original,-,-,inf,1.000000,-
mandril,10,noisy,-,-,28.121824,0.754526,-
mandril,10,swnlm,5,1,31.005276,0.900834,5.237000
mandril,10,cnlm,5,1,30.624694,0.890897,0.555000
mandril,10,swnlm_cuda,5,1,31.029194,0.901125,0.050000
mandril,10,cnlm_cuda,5,1,30.624696,0.890897,0.015000
mandril,10,swnlm,5,2,29.902566,0.865696,19.583000
mandril,10,cnlm,5,2,30.419272,0.887790,1.073000
mandril,10,swnlm_cuda,5,2,29.911226,0.865938,0.123000
mandril,10,cnlm_cuda,5,2,30.419300,0.887790,0.027000
mandril,10,swnlm,5,3,29.437711,0.850303,45.603000
mandril,10,cnlm,5,3,30.392544,0.887348,1.892000
mandril,10,swnlm_cuda,5,3,29.441567,0.850469,0.344000
mandril,10,cnlm_cuda,5,3,30.392534,0.887347,0.047000
mandril,10,swnlm,8,1,31.248640,0.899316,12.370000
mandril,10,cnlm,8,1,31.050003,0.895273,1.310000
mandril,10,swnlm_cuda,8,1,31.264455,0.899521,0.098000
mandril,10,cnlm_cuda,8,1,31.049974,0.895273,0.041000
mandril,10,swnlm,8,2,30.025350,0.861101,46.665000
mandril,10,cnlm,8,2,30.769309,0.888553,2.558000
mandril,10,swnlm_cuda,8,2,30.034615,0.861334,0.271000
mandril,10,cnlm_cuda,8,2,30.769320,0.888554,0.065000
mandril,10,swnlm,8,3,29.499797,0.844941,108.771000
mandril,10,cnlm,8,3,30.725247,0.887665,4.494000
mandril,10,swnlm_cuda,8,3,29.503589,0.845089,0.791000
mandril,10,cnlm_cuda,8,3,30.725242,0.887665,0.099000
mandril,10,swnlm,10,1,31.325353,0.897617,18.820000
mandril,10,cnlm,10,1,31.237603,0.896702,1.994000
mandril,10,swnlm_cuda,10,1,31.337956,0.897786,0.146000
mandril,10,cnlm_cuda,10,1,31.237608,0.896701,0.083000
mandril,10,swnlm,10,2,30.079806,0.859049,70.876000
mandril,10,cnlm,10,2,30.937918,0.888906,3.901000
mandril,10,swnlm_cuda,10,2,30.089193,0.859265,0.391000
mandril,10,cnlm_cuda,10,2,30.937934,0.888908,0.099000
