image,sigma,algorithm,search radius,neighbor radius,psnr,SSIM,execution time (s)
mandril,0,original,-,-,inf,1.000000,-
mandril,10,noisy,-,-,28.152664,0.984471,-
mandril,10,swnlm,5,1,31.052729,0.992095,8.532000
mandril,10,cnlm,5,1,30.668333,0.991438,0.650000
mandril,10,swnlm_cuda,5,1,31.081951,0.992149,0.148000
mandril,10,cnlm_cuda,5,1,30.668333,0.991438,0.171000
mandril,10,swnlm,5,2,29.924206,0.989834,24.184000
mandril,10,cnlm,5,2,30.448380,0.990993,1.087000
mandril,10,swnlm_cuda,5,2,29.933678,0.989856,0.377000
mandril,10,cnlm_cuda,5,2,30.448380,0.990993,0.470000
mandril,10,swnlm,5,3,29.479718,0.988696,52.021000
mandril,10,cnlm,5,3,30.418636,0.990930,1.646000
mandril,10,swnlm_cuda,5,3,29.482592,0.988703,0.876000
mandril,10,cnlm_cuda,5,3,30.418636,0.990930,0.891000
mandril,10,swnlm,8,1,31.304308,0.992428,20.243000
mandril,10,cnlm,8,1,31.102684,0.992221,1.528000
mandril,10,swnlm_cuda,8,1,31.324952,0.992466,0.347000
mandril,10,cnlm_cuda,8,1,31.102684,0.992221,0.409000
mandril,10,swnlm,8,2,30.041849,0.990113,57.635000
mandril,10,cnlm,8,2,30.807725,0.991702,2.582000
mandril,10,swnlm_cuda,8,2,30.051417,0.990135,0.878000
mandril,10,cnlm_cuda,8,2,30.807725,0.991702,1.077000
mandril,10,swnlm,8,3,29.530544,0.988837,124.589000
mandril,10,cnlm,8,3,30.761027,0.991615,3.916000
mandril,10,swnlm_cuda,8,3,29.533368,0.988844,2.024000
mandril,10,cnlm_cuda,8,3,30.761027,0.991615,2.063000
mandril,10,swnlm,10,1,31.390381,0.992508,30.859000
mandril,10,cnlm,10,1,31.292356,0.992518,2.326000
mandril,10,swnlm_cuda,10,1,31.406499,0.992537,0.504000
mandril,10,cnlm_cuda,10,1,31.292356,0.992518,0.595000
mandril,10,swnlm,10,2,30.103180,0.990252,87.830000
mandril,10,cnlm,10,2,30.979859,0.992009,3.931000
mandril,10,swnlm_cuda,10,2,30.112794,0.990274,1.297000
mandril,10,cnlm_cuda,10,2,30.979859,0.992009,1.616000
mandril,10,swnlm,10,3,29.556427,0.988909,190.077000
mandril,10,cnlm,10,3,30.925807,0.991913,5.974000
mandril,10,swnlm_cuda,10,3,29.559219,0.988915,3.086000
mandril,10,cnlm_cuda,10,3,30.925807,0.991913,3.146000
mandril,20,noisy,-,-,22.082580,0.936486,-
mandril,20,swnlm,5,1,27.734305,0.982735,8.608000
mandril,20,cnlm,5,1,26.604668,0.977976,0.651000
mandril,20,swnlm_cuda,5,1,27.741924,0.982767,0.144000
mandril,20,cnlm_cuda,5,1,26.604668,0.977976,0.164000
mandril,20,swnlm,5,2,26.291464,0.976297,24.494000
mandril,20,cnlm,5,2,26.660466,0.978205,1.087000
mandril,20,swnlm_cuda,5,2,26.303260,0.976365,0.359000
mandril,20,cnlm_cuda,5,2,26.660466,0.978205,0.447000
mandril,20,swnlm,5,3,25.397327,0.971385,52.590000
mandril,20,cnlm,5,3,26.656556,0.978190,1.646000
